Author,Birth Year,Death Year
"Gorham, Charles T. (Charles Turner)",1856.0,1933.0
"Gosse, Edmund",1849.0,1928.0
"Gourmont, Remy de",1858.0,1915.0
"Gowing, Thomas S.",,
"Graebner, Theodore",1876.0,1950.0
"Greenleaf, Simon",1783.0,1853.0
"Grenfell, Wilfred Thomason, Sir",1865.0,1940.0
"Griffis, William Elliot",1843.0,1928.0
"Grimm, Jacob",1785.0,1863.0
"Grisar, Hartmann",1845.0,1932.0
"Groome, Francis Hindes",1851.0,1902.0
"Groos, Karl",1861.0,1946.0
"Grote, George",1794.0,1871.0
"Guerber, H. A. (Hélène Adeline)",1859.0,1929.0
Guevara,1928.0,1967.0
"Guiney, Louise Imogen",1861.0,1920.0
"Guizot, François",1787.0,1874.0
"Gunn, John Alexander",1896.0,1975.0
"Guyau, Jean-Marie",1854.0,1888.0
"Guyon, Jeanne Marie Bouvier de la Motte",1648.0,1717.0
"Gwatkin, Henry Melvill",1844.0,1916.0
Gödel,1906.0,1978.0
"Habermann, Johann",1516.0,1590.0
"Habershon, M. H. (Matthew Henry)",1821.0,
"Hackley, E. Azalia (Emma Azalia)",1867.0,1922.0
"Haddock, Frank C. (Frank Channing)",1853.0,1915.0
"Haddon, Alfred C. (Alfred Cort)",1855.0,1940.0
"Haeckel, Ernst",1834.0,1919.0
"Haldane, J. B. S. (John Burdon Sanderson)",1892.0,1964.0
"Haldeman, Isaac Massey",1845.0,1933.0
"Halévy, Daniel",1872.0,1962.0
"Hamblin, Henry Thomas",1873.0,1958.0
"Hamerton, Philip Gilbert",1834.0,1894.0
"Hammond, C. (Charles)",,1859.0
"Hardwich, T. Frederick",1829.0,1890.0
"Hardwick, J. C. (John Charlton)",1885.0,
"Hardwicke, Herbert Junius",,
"Harland, Marion",1830.0,1922.0
"Harnack, Adolf von",1851.0,1930.0
"Harrington, James",1611.0,1677.0
"Hartland, Edwin Sidney",1848.0,1927.0
"Hartley, Cecil B.",,
"Hartshorne, Henry",1823.0,1897.0
"Hasell, Frances Hatton Eva",1886.0,1974.0
"Haslam, John",1764.0,1844.0
"Havergal, Frances Ridley",1836.0,1879.0
"Haygood, Atticus G. (Atticus Greene)",1839.0,1896.0
"Hayward, John",1781.0,1869.0
"Hazlitt, Henry",1894.0,1993.0
"Healy, Mary Tenney",,
"Hegel, Georg Wilhelm Friedrich",1770.0,1831.0
Heidegger,1889.0,1976.0
"Heindel, Max",1865.0,1919.0
"Helvetius, Johann Friedrich",,1709.0
"Hemingway, Ernest",1899.0,1961.0
"Hemphill, Scott",,
"Henney, Nella Braddy",1894.0,1973.0
"Herbart, Johann Friedrich",1776.0,1841.0
"Herford, R. Travers (Robert Travers)",1860.0,1950.0
"Herschel, John F. W. (John Frederick William)",1792.0,1871.0
"Hervey, Walter Lowrie",1862.0,1952.0
"Herzl, Theodor",1860.0,1904.0
"Hesse, Hermann",1877.0,1962.0
"Hillis, Newell Dwight",1858.0,1929.0
"Hilton, Warren",1874.0,1958.0
"Hilty, Karl",1833.0,1909.0
"Hippolytus, Antipope",,235.0
"Hirn, Y. (Yrjö)",1870.0,1952.0
"Hiscox, Edward T. (Edward Thurston)",1814.0,1901.0
"Hobbes, Thomas",1588.0,1679.0
"Hoben, Allan",1874.0,1935.0
"Hodges, George",1856.0,1919.0
"Hodgkin, L. V. (Lucy Violet)",1869.0,1954.0
"Hodous, Lewis",1872.0,1949.0
"Hodson, Thomas",,
"Hoffmann, Heinrich",1809.0,1894.0
"Hogarth, William",1697.0,1764.0
"Holbach, Paul Henri Thiry, baron d'",1723.0,1789.0
"Holbrook, M. L. (Martin Luther)",1831.0,1902.0
Homer,-750.0,-650.0
"Hooke, Robert",1635.0,1703.0
"Hoover, Thomas",1941.0,
"Hornaday, William T. (William Temple)",1854.0,1937.0
"Horton, Robert F. (Robert Forman)",1855.0,1934.0
"Houdini, Harry",1874.0,1926.0
